 , L01, L02, L03, L04, L06, L07, P01, P02, P03, P05, P09 ,P10, P12, P22, M03 ,M04 ,M09 ,M19, M21 ,M26 ,M44, M57 ,M68 ,G01 ,G02
CI,1.33E+06,2.00E+07,4.43E+06,4.88E+06,1990000,3300000,1.13E+08,1.42E+06,5.86E+07,3.92E+07,1.70E+07,5.61E+07,1.18E+07,8.64E+06,6.32E+07,1.90E+07,2.05E+07,8.50E+06,6.60E+06,2.15E+07,1.85E+07,2.70E+07,1.05E+07,4.80E+07,5.60E+07
TP,1.00E+07,3.71E+08,9.76E+08,7.53E+07,1.01E+09,306847686.2,1.70E+12,8.80E+11,2.75E+11,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,1.45E+08,3.40E+08,1.00E+07,1.00E+07,2.68E+10,2.68E+08,1.11E+08,1.00E+07,1.70E+09,1.00E+07,9.23E+06
TN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76E+00,NA,6.26E+02,NA,9.13E+02,NA,4.24E+03,2.34E+03,NA,NA,NA,7.70E+05
IL6,0.68,10.85,10.85,5.75,1.765,2.17E+00,7,8.7,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38,4.89E+00,29.79,4.86,1.02,1.03
Mi,3.51E+10,9.35E+10,1.88E+10,9.31E+10,9.84E+10,1.69E+09,5.10E+10,6.08E+10,8.33E+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92E+10,9.66E+10,9.27E+10,5.93E+10,9.61E+10,9.93E+10
eps,0.012,0.0188,0.2,0.02,0.09,0.048,0.0001,0.0006,0.02,0.0005,0.001,0.001,0.0073,0.0058,0.0087,0.0147,0.0185,0.0282,0.1026,0.0416,0.0101,0.0085,0.0166,0.0033,0.1
gamma,0.8046,0.7063,0.5148,0.3687,1.3367,0.4512,9.9454,0.3654,0.6,0.2377,1.1852,0.2669,0.3835,0.8827,3.2016,0.6935,4.4002,1.0899,1.4694,1.1871,0.6668,1.4946,4.5905,0.9086,1.0474
kappa,1.8632,0.4519,2.1875,1.7824,4.3,3.5898,6.3866,0.4591,2.1,0.606,10,0.4331,3.5,1.0811,1.3637,3.6503,2.2345,2.2198,4.3593,4,3.9881,1.4287,3.3019,1.1801,3.1455
muP,0.004,0.0067,0.0019,0.001,0.0735,0.0038,0.0007,0.0008,0.0002,0.005,0.0022,0.0047,0.0499,0.0084,0.0001,0.0081,0.0043,0.0075,0.0509,0.0225,0.0046,0.0041,0.0016,0.0083,0.12
muE,1.4931,0.2293,1.8,0.8369,2.724,1.9996,0.1192,0.0355,0.1,0.1,0.0847,0.1073,0.2091,0.715,0.3713,0.5666,0.9,0.7757,3.1069,0.0652,0.3697,0.2681,2,0.1074,1.422
